REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,72999,Other technical trades and related occupations,9255
2021,Canada,73100,Concrete finishers,9250
2021,Canada,73101,Tilesetters,9185
2021,Canada,73102,"Plasterers, drywall installers and finishers and lathers",29455
2021,Canada,73110,Roofers and shinglers,23735
2021,Canada,73111,Glaziers,8375
2021,Canada,73112,Painters and decorators (except interior decorators),43535
2021,Canada,73113,Floor covering installers,12040
2021,Canada,73200,Residential and commercial installers and servicers,52295
2021,Canada,73201,General building maintenance workers and building superintendents,100720
2021,Canada,73202,Pest controllers and fumigators,4270
2021,Canada,73209,Other repairers and servicers,10650
2021,Canada,73300,Transport truck drivers,371875
2021,Canada,73301,"Bus drivers, subway operators and other transit operators",92720
2021,Canada,73310,Railway and yard locomotive engineers,5660
2021,Canada,73311,Railway conductors and brakemen/women,5675
2021,Canada,73400,Heavy equipment operators,92305
2021,Canada,73401,Printing press operators,14215
2021,Canada,73402,"Drillers and blasters - surface mining, quarrying and construction",4415
2021,Canada,74100,Mail and parcel sorters and related occupations,23300
2021,Canada,74101,Letter carriers,32735
2021,Canada,74102,Couriers and messengers,34965
2021,Canada,74200,Railway yard and track maintenance workers,5625
2021,Canada,74201,Water transport deck and engine room crew,4355
2021,Canada,74202,Air transport ramp attendants,9280
2021,Canada,74203,Automotive and heavy truck and equipment parts installers and servicers,14640
2021,Canada,74204,Utility maintenance workers,5955
2021,Canada,74205,Public works maintenance equipment operators and related workers,14270
2021,Canada,75100,Longshore workers,5685
2021,Canada,75101,Material handlers,224380
2021,Canada,75110,Construction trades helpers and labourers,214645
2021,Canada,75119,Other trades helpers and labourers,12210
2021,Canada,75200,Taxi and limousine drivers and chauffeurs,58925
2021,Canada,75201,Delivery service drivers and door-to-door distributors,101370
2021,Canada,75210,Boat and cable ferry operators and related occupations,2700
2021,Canada,75211,Railway and motor transport labourers,4970
2021,Canada,75212,Public works and maintenance labourers,31795
2021,Canada,80010,Managers in natural resources production and fishing,9955
2021,Canada,80020,Managers in agriculture,165070
2021,Canada,80021,Managers in horticulture,3860
2021,Canada,80022,Managers in aquaculture,930
2021,Canada,82010,"Supervisors, logging and forestry",6325
2021,Canada,82020,"Supervisors, mining and quarrying",7875
2021,Canada,82021,"Contractors and supervisors, oil and gas drilling and services",10960
2021,Canada,82030,Agricultural service contractors and farm supervisors,2900
2021,Canada,82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",21350
2021,Canada,83100,Underground production and development miners,13535
2021,Canada,83101,"Oil and gas well drillers, servicers, testers and related workers",7230
2021,Canada,83110,Logging machinery operators,6630
2021,Canada,83120,Fishing masters and officers,980
2021,Canada,83121,Fishermen/women,10725
2021,Canada,84100,Underground mine service and support workers,4235
2021,Canada,84101,Oil and gas well drilling and related workers and services operators,5640
2021,Canada,84110,Chain saw and skidder operators,7085
2021,Canada,84111,Silviculture and forestry workers,7355
2021,Canada,84120,Specialized livestock workers and farm machinery operators,45130
2021,Canada,84121,Fishing vessel deckhands,8850
2021,Canada,85100,Livestock labourers,30805
2021,Canada,85101,Harvesting labourers,11235
2021,Canada,85102,Aquaculture and marine harvest labourers,2540
2021,Canada,85103,Nursery and greenhouse labourers,17535
2021,Canada,85104,Trappers and hunters,510
2021,Canada,85110,Mine labourers,2800
2021,Canada,85111,"Oil and gas drilling, servicing and related labourers",7245
2021,Canada,85120,Logging and forestry labourers,5240
2021,Canada,85121,Landscaping and grounds maintenance labourers,116705
2021,Canada,90010,Manufacturing managers,72515
2021,Canada,90011,Utilities managers,11190
2021,Canada,92010,"Supervisors, mineral and metal processing",5420
2021,Canada,92011,"Supervisors, petroleum, gas and chemical processing and utilities",11890
2021,Canada,92012,"Supervisors, food and beverage processing",15525
2021,Canada,92013,"Supervisors, plastic and rubber products manufacturing",3555
2021,Canada,92014,"Supervisors, forest products processing",5500
2021,Canada,92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",1095
2021,Canada,92020,"Supervisors, motor vehicle assembling",8170
2021,Canada,92021,"Supervisors, electronics and electrical products manufacturing",2195
2021,Canada,92022,"Supervisors, furniture and fixtures manufacturing",1590
2021,Canada,92023,"Supervisors, other mechanical and metal products manufacturing",2835
2021,Canada,92024,"Supervisors, other products manufacturing and assembly",3010
2021,Canada,92100,Power engineers and power systems operators,33920
2021,Canada,92101,Water and waste treatment plant operators,13310
2021,Canada,93100,"Central control and process operators, mineral and metal processing",2345
2021,Canada,93101,"Central control and process operators, petroleum, gas and chemical processing",22295
2021,Canada,93102,"Pulping, papermaking and coating control operators",710
2021,Canada,93200,Aircraft assemblers and aircraft assembly inspectors,5300
2021,Canada,94100,"Machine operators, mineral and metal processing",8260
2021,Canada,94101,Foundry workers,2395
2021,Canada,94102,Glass forming and finishing machine operators and glass cutters,2245
2021,Canada,94103,"Concrete, clay and stone forming operators",3780
2021,Canada,94104,"Inspectors and testers, mineral and metal processing",2210
2021,Canada,94105,Metalworking and forging machine operators,11535
2021,Canada,94106,Machining tool operators,8770
2021,Canada,94107,Machine operators of other metal products,2900
